"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003_TSPAN6",25.5151265253046,0.597453261668358,0.31255747028534,1.91149890329907,0.0559404975999148,0.571245200331278
"ENSG00000000005_TNMD",0.455799231116852,0.605964177536938,1.83556413848137,0.330124218943542,0.741306104040859,NA
"ENSG00000000419_DPM1",55.411468923194,0.156390363936481,0.197850471640837,0.79044726373147,0.429266609077417,0.865205849264076
"ENSG00000000457_SCYL3",26.2389227624745,-0.254399510515103,0.254005681626813,-1.00155047275229,0.316560751521577,0.817506926824838
"ENSG00000000460_C1orf112",5.57665842193113,-0.11451515757736,0.510691187097887,-0.224235625110582,0.822573964348047,0.97324071854807
"ENSG00000000938_FGR",15.4864079116566,0.520108591221501,0.367851262863335,1.41391003301988,0.157388319726053,0.707275724617059
"ENSG00000000971_CFH",77.9257504982047,0.826204781935916,0.692484511068437,1.19310218312488,0.232829356634357,0.764774900558169
"ENSG00000001036_FUCA2",27.3184725664656,0.0137732219139982,0.229585037899615,0.0599918097451126,0.952162157819113,0.991221924712982
"ENSG00000001084_GCLC",92.882889962257,-0.0673980498142897,0.20347859049312,-0.331229195420285,0.740471368977245,0.957081041138541
"ENSG00000001167_NFYA",42.1416186946307,-0.0493241941329361,0.230291238666806,-0.21418180916687,0.830405281117103,0.97381865212719
"ENSG00000001460_STPG1",54.8569829792245,0.0791570701473822,0.211311445819907,0.374599065565265,0.707958668087084,0.946883415831311
"ENSG00000001461_NIPAL3",273.620813693608,-0.557278236279025,0.190656122147421,-2.92294960162948,0.00346732633853367,0.236275816559616
"ENSG00000001497_LAS1L",132.457690484309,0.153901315524859,0.141137291864281,1.09043693195454,0.275520720699254,0.793152647755198
"ENSG00000001561_ENPP4",99.4715771540189,-0.411979488171807,0.254648175490379,-1.6178379734253,0.105697520401842,0.651218837503021
"ENSG00000001617_SEMA3F",16.3889957904128,0.447610386605366,0.507902433631767,0.881292069039162,0.378159757622451,0.846705593079532
"ENSG00000001626_CFTR",6.12715728803119,-0.581053537577368,0.560924037985276,-1.03588632012348,0.300255180372917,0.808979681477022
"ENSG00000001629_ANKIB1",139.692816905855,0.064584078842277,0.209149071833203,0.308794479823381,0.757477868538094,0.959764889409145
"ENSG00000001630_CYP51A1",1.88073179395653,-0.405744523014558,0.983865159393978,-0.4123985071943,0.680047357149043,NA
"ENSG00000001631_KRIT1",26.2287077094255,-0.00886497713232503,0.226687676229291,-0.0391065684724662,0.968805424093117,0.994078054983748
"ENSG00000002016_RAD52",33.5346750574763,0.322882619584489,0.267397833352213,1.20749901200281,0.227240025328726,0.760614652876223
"ENSG00000002079_MYH16",0.415698677988793,0.584736333123761,1.68779139804154,0.346450594429069,0.72900410767539,NA
"ENSG00000002330_BAD",84.6606694603011,-0.432221537479,0.283098786882637,-1.52675164114421,0.126822780794183,0.669616037036306
"ENSG00000002549_LAP3",68.5046129889766,0.276086016047005,0.229893552566288,1.20092979104926,0.22977843696014,0.763230720752824
"ENSG00000002586_CD99",122.351417417686,-0.0420727672125163,0.330761455866665,-0.127199727980023,0.898782320673522,0.984837635287881
"ENSG00000002587_HS3ST1",17.4364575999406,-0.279565631465136,0.303144952214823,-0.922217669872406,0.35641504807679,0.836722492049088
"ENSG00000002745_WNT16",3.18646414127225,1.06630490393057,0.737942420975018,1.44497033050586,0.148466219582674,NA
"ENSG00000002746_HECW1",175.92844644216,-0.120144592015481,0.213351178868581,-0.563130668659145,0.573345909231403,0.909528249608714
"ENSG00000002822_MAD1L1",32.6487389114506,-0.180305590299857,0.214877797710877,-0.839107586826919,0.401408939064469,0.85160404971959
"ENSG00000002834_LASP1",293.496027411983,-0.0540859068109128,0.121672779605845,-0.444519365680002,0.656667130825685,0.933033121553571
