Gene ID	Gene Name	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 11' .foldChange	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 11'.pValue	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 24' .foldChange	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 24'.pValue	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 9' .foldChange	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 9'.pValue	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 11' .foldChange	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 11'.pValue	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 24' .foldChange	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 24'.pValue	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 9' .foldChange	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 9'.pValue
ENSG00000000003	TSPAN6	0.4	0.167564746582056	0.3	0.998056860267984	0.3	0.99498273299885	0.2	0.997156663666153	0.6	0.147301746451815	0.4	0.583609082072461
ENSG00000000005	TNMD			-0.2	0.998056860267984	0.1	0.99498273299885
ENSG00000000419	DPM1	-0.1	0.728745450634867	-0.1	0.998056860267984	0.3	0.99498273299885			-0.4	0.197350572811399	0.1	0.874407452105012
ENSG00000000457	SCYL3	-0.3	0.242458372477345	-0.3	0.998056860267984	-0.1	0.99498273299885			-0.3	0.464505717503233	-0.2	0.828968296681616
ENSG00000000460	C1orf112			-0.3	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153			-0.1	0.97644422205683
ENSG00000000938	FGR	0.2	0.604267460643644	0.1	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153	0.7	0.0952359354044009	0.3	0.721152719522241
ENSG00000000971	CFH	0.5	0.204499165339752	0.4	0.998056860267984	0.4	0.99498273299885	0.1	0.997156663666153	0.8	0.113495199186021	0.3	0.778889897594434
ENSG00000001036	FUCA2	0.1	0.814667820776533	-0.1	0.998056860267984	0.2	0.99498273299885	0.2	0.997156663666153	-0.1	0.891700873362187
ENSG00000001084	GCLC							0.1	0.997156663666153	0.1	0.781451765608162	-0.1	0.961045957665497
ENSG00000001167	NFYA	0.1	0.898553332448073	0.2	0.998056860267984	-0.1	0.99498273299885	0.1	0.997156663666153	0.2	0.669089146428356
ENSG00000001460	STPG1	-0.2	0.249590341737298			-0.2	0.99498273299885			-0.2	0.661780573445773	0.1	0.951000398589625
ENSG00000001461	NIPAL3	0.2	0.21754145265528	0.1	0.998056860267984	-0.2	0.99498273299885	0.1	0.997156663666153			-0.5	0.24301979264476
ENSG00000001497	LAS1L	0.1	0.556009555307784			-0.3	0.99498273299885	0.1	0.997156663666153	0.2	0.617396993681475	0.1	0.803895619565385
ENSG00000001561	ENPP4	-0.1	0.669839730065463	0.3	0.998056860267984	0.2	0.99498273299885			-0.4	0.40271164787202	-0.3	0.665201344587992
ENSG00000001617	SEMA3F	0.4	0.234630282421398	-0.1	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	-0.3	0.644443117114289	0.2	0.857301754201675
ENSG00000001626	CFTR			-0.1	0.998056860267984	-0.1	0.99498273299885	0.1	0.997156663666153			-0.3	0.818782573715811
ENSG00000001629	ANKIB1	0.1	0.59153391783355	0.5	0.998056860267984	0.2	0.99498273299885	0.1	0.997156663666153	0.6	0.0515115204409588	0.1	0.962880649353723
ENSG00000001630	CYP51A1			-0.1	0.998056860267984	0.2	0.99498273299885
ENSG00000001631	KRIT1			-0.1	0.998056860267984	0.4	0.99498273299885	-0.1	0.997156663666153	-0.2	0.703909244813825
ENSG00000002016	RAD52	0.1	0.842209088439659	0.2	0.998056860267984	-0.2	0.99498273299885	0.1	0.997156663666153	0.6	0.0966953908541733	0.3	0.773794285629472
ENSG00000002079	MYH16			0.1	0.998056860267984	0.4	0.99498273299885
ENSG00000002330	BAD			-0.1	0.998056860267984	0.1	0.99498273299885	-0.1	0.997156663666153	-0.1	0.830038172482892	-0.3	0.684922841324593
ENSG00000002549	LAP3	-0.2	0.412267299803286	0.2	0.998056860267984	0.1	0.99498273299885	-0.1	0.997156663666153	0.2	0.573266082523573	0.2	0.775769958313979
ENSG00000002586	CD99	0.3	0.41439651093643			-0.3	0.99498273299885	0.2	0.997156663666153	0.5	0.293940000404994
ENSG00000002587	HS3ST1			-0.1	0.998056860267984	-0.2	0.99498273299885	-0.2	0.997156663666153			-0.2	0.847346689863955
ENSG00000002745	WNT16			-0.2	0.998056860267984	0.1	0.99498273299885	0.1	0.997156663666153
ENSG00000002746	HECW1	-0.3	0.0996455194430445	-0.4	0.998056860267984	0.1	0.99498273299885	-0.2	0.997156663666153	-0.7	0.0214038436918134	-0.1	0.915022754157974
ENSG00000002822	MAD1L1	0.1	0.71680416192683	-0.3	0.998056860267984					-0.1	0.824026613884457	-0.2	0.861888196934944
ENSG00000002834	LASP1	-0.1	0.434143599109099	-0.2	0.998056860267984	-0.2	0.99498273299885			-0.1	0.788026678625583	-0.1	0.937625634627032
ENSG00000002919	SNX11	0.1	0.614868629965406	0.2	0.998056860267984	0.3	0.99498273299885	0.1	0.997156663666153	-0.3	0.610089915767029	-0.1	0.932436887986128
ENSG00000002933	TMEM176A	0.6	0.115247530959378	0.6	0.998056860267984	0.4	0.99498273299885	0.2	0.997156663666153	0.8	0.0213457434012263	0.5	0.586540220895047
ENSG00000003056	M6PR	-0.3	0.344838964158055	-0.1	0.998056860267984	0.2	0.99498273299885			-0.4	0.283852489981083
ENSG00000003096	KLHL13	-0.2	0.63336625218504			0.7	0.99498273299885			-0.3	0.519537493665126	0.1	0.921461506676633
ENSG00000003137	CYP26B1	-0.7	0.0311911739195677	-0.4	0.998056860267984	-0.3	0.99498273299885	-0.2	0.997156663666153	-0.9	0.0572048707377756	-0.1	0.973932851982038
ENSG00000003147	ICA1	-0.1	0.578585927794356	-0.3	0.998056860267984	-0.3	0.99498273299885	-0.1	0.997156663666153	-0.5	0.100026395014189	-0.1	0.920924059862576
ENSG00000003249	DBNDD1	-0.2	0.271500669061192	-0.3	0.998056860267984			-0.1	0.997156663666153	-0.2	0.538007024792779	-0.3	0.737385665681359
ENSG00000003393	ALS2	-0.2	0.345860028606633			-0.1	0.99498273299885			-0.4	0.164850175259502
ENSG00000003400	CASP10			0.1	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	0.2	0.760730819890818	-0.3	0.760817168973091
