gene_id,type,ncbi,kegg
ENSG00000000003,protein_coding,7105,
ENSG00000000005,protein_coding,64102,
ENSG00000000419,protein_coding,8813,790
ENSG00000000457,protein_coding,57147,1120
ENSG00000000460,nonsense_mediated_decay,55732,
ENSG00000000938,protein_coding,2268,521
ENSG00000000971,protein_coding,3075,350
ENSG00000001036,protein_coding,2519,380
ENSG00000001084,protein_coding,2729,480
ENSG00000001167,protein_coding,4800,
ENSG00000001460,protein_coding,90529,
ENSG00000001461,protein_coding,57185,
ENSG00000001497,protein_coding,81887,
ENSG00000001561,protein_coding,22875,1120
ENSG00000001617,protein_coding,6405,5163
ENSG00000001626,protein_coding,1080,5163
ENSG00000001630,protein_coding,1595,999
ENSG00000001631,protein_coding,889,5170
ENSG00000002016,nonsense_mediated_decay,5893,
ENSG00000002330,protein_coding,572,
ENSG00000002549,protein_coding,51056,1100
ENSG00000002586,protein_coding,4267,
ENSG00000002587,protein_coding,9957,30
ENSG00000002726,protein_coding,26,410
ENSG00000002745,protein_coding,51384,
ENSG00000002746,protein_coding,23072,4714
ENSG00000002822,protein_coding,8379,
ENSG00000002834,protein_coding,3927,4150
ENSG00000002919,nonsense_mediated_decay,29916,5163
ENSG00000002933,protein_coding,55365,
ENSG00000003056,nonsense_mediated_decay,4074,
ENSG00000003096,protein_coding,90293,4660
ENSG00000003137,protein_coding,56603,232
ENSG00000003147,protein_coding,3382,4660
ENSG00000003249,protein_coding,79007,
ENSG00000003393,protein_coding,57679,562
ENSG00000003400,protein_coding,843,4150
ENSG00000003402,protein_coding,8837,5170
ENSG00000003436,protein_coding,7035,
ENSG00000003509,protein_coding,55471,980
ENSG00000003756,protein_coding,10181,4714
ENSG00000003989,protein_coding,6542,
ENSG00000004059,protein_coding,381,966
ENSG00000004139,protein_coding,23098,1120
ENSG00000004142,protein_coding,26073,
ENSG00000004399,protein_coding,23129,623
ENSG00000004455,protein_coding,204,261
ENSG00000004468,protein_coding,952,760
ENSG00000004478,protein_coding,2288,1501
ENSG00000004487,protein_coding,23028,51
ENSG00000004534,protein_coding,10180,310
ENSG00000004660,protein_coding,84254,521
ENSG00000004700,protein_coding,5965,404
ENSG00000004776,protein_coding,126393,1100
ENSG00000004777,protein_coding,115703,5170
ENSG00000004779,protein_coding,4706,1059
ENSG00000004799,protein_coding,5166,5165
ENSG00000004809,protein_coding,85413,480
ENSG00000004838,protein_coding,51364,1100
ENSG00000004846,protein_coding,340273,532
ENSG00000004848,protein_coding,170302,1110
ENSG00000004864,protein_coding,10165,30
ENSG00000004866,protein_coding,7982,310
ENSG00000004897,protein_coding,996,4660
ENSG00000004939,protein_coding,6521,1120
ENSG00000004948,protein_coding,799,
ENSG00000004961,protein_coding,3052,860
ENSG00000004975,protein_coding,1856,5165
ENSG00000005001,protein_coding,64063,730
ENSG00000005007,protein_coding,5976,670
ENSG00000005022,protein_coding,292,
ENSG00000005059,protein_coding,55013,
ENSG00000005075,protein_coding,5439,
ENSG00000005100,protein_coding,56919,966
ENSG00000005102,protein_coding,4222,500
ENSG00000005108,protein_coding,221981,
ENSG00000005187,protein_coding,6296,998
ENSG00000005189,protein_coding,81691,5163
ENSG00000005194,protein_coding,57019,950
ENSG00000005206,protein_coding,56928,250
ENSG00000005238,protein_coding,80256,
ENSG00000005243,nonsense_mediated_decay,51226,
ENSG00000005249,protein_coding,5577,440
ENSG00000005339,protein_coding,1387,4151
ENSG00000005379,protein_coding,9256,944
ENSG00000005381,protein_coding,4353,360
ENSG00000005421,protein_coding,5444,4916
ENSG00000005436,protein_coding,6936,
ENSG00000005448,protein_coding,84058,680
ENSG00000005469,protein_coding,54677,71
ENSG00000005471,protein_coding,5244,980
ENSG00000005483,nonsense_mediated_decay,55904,310
ENSG00000005486,nonsense_mediated_decay,57414,
ENSG00000005513,protein_coding,30812,1100
ENSG00000005700,protein_coding,25998,592
ENSG00000005801,protein_coding,7748,720
ENSG00000005810,protein_coding,23077,562
ENSG00000005812,protein_coding,26224,4658
ENSG00000005844,nonsense_mediated_decay,3683,1100
ENSG00000005882,protein_coding,5164,4151
ENSG00000005884,protein_coding,3675,563
ENSG00000005889,protein_coding,7543,310
ENSG00000005893,protein_coding,3920,
ENSG00000005961,protein_coding,3674,563
ENSG00000006007,protein_coding,51573,564
ENSG00000006015,nonsense_mediated_decay,55049,
ENSG00000006016,protein_coding,9244,515
ENSG00000006025,protein_coding,114881,4714
ENSG00000006047,protein_coding,51087,1110
ENSG00000006062,protein_coding,9020,1120
ENSG00000006071,protein_coding,6833,5163
ENSG00000006116,protein_coding,10368,
ENSG00000006118,protein_coding,54972,
ENSG00000006194,protein_coding,10127,908
ENSG00000006210,protein_coding,6376,
ENSG00000006282,protein_coding,64847,541
ENSG00000006283,protein_coding,8913,1100
ENSG00000006327,protein_coding,51330,
ENSG00000006377,protein_coding,1750,1110
ENSG00000006432,protein_coding,4293,4660
ENSG00000006451,protein_coding,5898,5235
ENSG00000006453,protein_coding,55971,5170
ENSG00000006459,protein_coding,80853,4926
ENSG00000006468,protein_coding,2115,4150
ENSG00000006530,protein_coding,55750,561
ENSG00000006555,protein_coding,55001,311
ENSG00000006576,protein_coding,57157,
ENSG00000006606,protein_coding,10344,
ENSG00000006607,protein_coding,9855,5163
ENSG00000006611,protein_coding,10083,1100
ENSG00000006625,protein_coding,79017,480
ENSG00000006634,nonsense_mediated_decay,10926,
ENSG00000006638,protein_coding,6915,860
ENSG00000006652,protein_coding,3475,562
ENSG00000006659,protein_coding,56891,4926
ENSG00000006695,nonsense_mediated_decay,1352,1100
ENSG00000006704,protein_coding,9569,
ENSG00000006712,nonsense_mediated_decay,54623,
ENSG00000006740,protein_coding,9912,562
ENSG00000006744,protein_coding,60528,1100
ENSG00000006747,protein_coding,85477,
ENSG00000006756,protein_coding,414,30
ENSG00000006757,protein_coding,8228,565
ENSG00000006788,protein_coding,8735,261
ENSG00000006831,protein_coding,79602,
ENSG00000006837,protein_coding,51265,4660
ENSG00000007001,protein_coding,151531,230
ENSG00000007038,nonsense_mediated_decay,10942,230
ENSG00000007047,protein_coding,57787,521
ENSG00000007062,nonsense_mediated_decay,8842,
ENSG00000007080,protein_coding,115098,
ENSG00000007129,protein_coding,90273,550
ENSG00000007168,protein_coding,5048,4150
ENSG00000007171,protein_coding,4843,71
ENSG00000007174,protein_coding,1770,51
ENSG00000007202,protein_coding,9703,
ENSG00000007216,protein_coding,9058,
ENSG00000007237,protein_coding,8522,510
ENSG00000007255,protein_coding,79090,1100
ENSG00000007264,protein_coding,4145,4660
ENSG00000007306,protein_coding,1087,350
ENSG00000007312,protein_coding,974,627
ENSG00000007314,protein_coding,6329,790
ENSG00000007341,protein_coding,54879,1501
ENSG00000007372,protein_coding,5080,240
ENSG00000007376,protein_coding,113000,1100
ENSG00000007384,nonsense_mediated_decay,64285,
ENSG00000007392,protein_coding,55692,
ENSG00000007402,protein_coding,9254,4926
ENSG00000007516,protein_coding,8938,4070
ENSG00000007520,protein_coding,115939,
ENSG00000007541,protein_coding,9091,563
ENSG00000007545,protein_coding,57585,310
ENSG00000007866,protein_coding,7005,
ENSG00000007908,protein_coding,6401,1100
ENSG00000007923,protein_coding,55735,5170
ENSG00000007933,protein_coding,2328,983
ENSG00000007944,protein_coding,29116,1110
ENSG00000007952,protein_coding,27035,680
ENSG00000007968,protein_coding,1870,1057
ENSG00000008018,protein_coding,5689,1110
ENSG00000008083,protein_coding,3720,
ENSG00000008086,protein_coding,6792,5165
ENSG00000008118,protein_coding,57172,270
ENSG00000008128,nonsense_mediated_decay,728642,521
ENSG00000008130,protein_coding,65220,600
ENSG00000008196,protein_coding,7021,
ENSG00000008197,protein_coding,83741,
ENSG00000008226,protein_coding,9940,350
ENSG00000008256,protein_coding,9265,4660
ENSG00000008277,protein_coding,53616,5163
ENSG00000008282,protein_coding,6856,
ENSG00000008283,protein_coding,1534,
ENSG00000008294,protein_coding,9043,5163
ENSG00000008300,protein_coding,1951,565
ENSG00000008311,protein_coding,10157,624
ENSG00000008323,protein_coding,55200,4070
ENSG00000008324,protein_coding,51188,
ENSG00000008382,nonsense_mediated_decay,84954,1100
ENSG00000008394,protein_coding,4257,480
ENSG00000008405,protein_coding,1407,760
ENSG00000008438,protein_coding,8993,511
ENSG00000008441,protein_coding,4784,
ENSG00000008513,protein_coding,6482,515
ENSG00000008516,protein_coding,64386,531
ENSG00000008517,protein_coding,9235,
ENSG00000008710,protein_coding,5310,603
ENSG00000008735,protein_coding,23542,5165
ENSG00000008838,nonsense_mediated_decay,9862,
ENSG00000008853,protein_coding,23221,380
ENSG00000008869,protein_coding,54497,1100
ENSG00000008952,nonsense_mediated_decay,7095,
ENSG00000008988,nonsense_mediated_decay,6224,
ENSG00000009307,protein_coding,7812,1100
ENSG00000009335,protein_coding,9690,1100
ENSG00000009413,protein_coding,5980,860
ENSG00000009709,protein_coding,5081,500
ENSG00000009724,protein_coding,10747,730
ENSG00000009765,protein_coding,389434,790
ENSG00000009780,protein_coding,199870,
ENSG00000009790,nonsense_mediated_decay,80342,
ENSG00000009830,protein_coding,29954,1100
ENSG00000009844,protein_coding,51534,500
ENSG00000009954,protein_coding,9031,5170
ENSG00000010017,protein_coding,10048,4926
ENSG00000010030,protein_coding,51513,740
