GeneID,Transcript,NcbiID,KeggID,GeneName
ENSG00000073578,protein_coding,6389,1057.0,SDHA
ENSG00000075624,nonsense_mediated_decay,60,1051.0,ACTB
ENSG00000111640,protein_coding,2597,830.0,GAPDH
ENSG00000142541,nonsense_mediated_decay,23521,,RPL13A
ENSG00000150991,protein_coding,7316,1110.0,UBC
ENSG00000156976,protein_coding,1974,540.0,EIF4A2
ENSG00000164924,protein_coding,7534,,YWHAZ
ENSG00000166710,protein_coding,567,52.0,B2M
ENSG00000179091,protein_coding,1537,30.0,CYC1
ENSG00000198900,nonsense_mediated_decay,7150,,TOP1
ENSG00000273686,protein_coding,567,760.0,B2M
