Exp,Gene.symbol,Up/Down,GeneID,KeggID,NcbiID,type,adj.P.Val,logFC
1,EMP1,up,ENSG00000134531,,2012.0,protein_coding,0.0334140274500158,2.14075851131562
1,OSMR,up,ENSG00000145623,740.0,9180.0,protein_coding,0.0483038071564314,1.75396656752383
1,PLOD2,up,ENSG00000152952,52.0,5352.0,protein_coding,0.0458739405068341,1.16523661521738
1,LIMS2,down,ENSG00000072163,4714.0,55679.0,nonsense_mediated_decay,0.0163778896215126,-0.836433532878777
1,TSPAN15,down,ENSG00000099282,,23555.0,protein_coding,0.0051089354286554,-1.93192450399037
1,FA2H,down,ENSG00000103089,1110.0,79152.0,protein_coding,0.018905870300706,-1.88027444891258
1,MAG,down,ENSG00000105695,982.0,4099.0,protein_coding,0.0053547429327339,-2.58265214218115
1,NPY,down,ENSG00000122585,,4852.0,protein_coding,0.0005711525303543,-2.81426130291757
1,MYRF,down,ENSG00000124920,,745.0,protein_coding,0.0126472280335533,-1.83484290981382
1,HSPA2,down,ENSG00000126803,1110.0,3306.0,protein_coding,0.0483038071564314,-1.41744348559513
1,NACAD,down,ENSG00000136274,,23148.0,protein_coding,0.0053547429327339,-0.881393757252125
1,AZIN2,down,ENSG00000142920,1120.0,113451.0,protein_coding,0.018905870300706,-0.794384405957439
1,DPYSL5,down,ENSG00000157851,760.0,56896.0,protein_coding,0.01890587,-0.9678547
1,CYB5R2,down,ENSG00000166394,1120.0,51700.0,protein_coding,0.03274606,-1.907989
1,PLD4,down,ENSG00000166428,1100.0,122618.0,protein_coding,0.03843829,-2.283537
1,GJB1,down,ENSG00000169562,,2705.0,protein_coding,0.01637789,-2.231128
1,CARNS1,down,ENSG00000172508,473.0,57571.0,protein_coding,8.917259e-05,-2.164959
1,CNP,down,ENSG00000173786,4150.0,1267.0,protein_coding,0.03274606,-1.426016
1,PRR18,down,ENSG00000176381,,285800.0,protein_coding,0.01284205,-1.719019
3,CP,up,ENSG00000047457,1100.0,1356.0,protein_coding,9.38718830084981e-05,2.95210897213985
3,CSF3,up,ENSG00000108342,,1440.0,protein_coding,0.0181460473308708,3.43453532234311
3,PAIP2B,up,ENSG00000124374,,400961.0,protein_coding,0.0271773295996847,2.04758014924982
3,SIX3,up,ENSG00000138083,1110.0,6496.0,protein_coding,0.0136432116676544,2.29960921689256
3,SLC14A1,up,ENSG00000141469,,6563.0,nonsense_mediated_decay,0.0106849670555849,2.24429721375908
3,S100A8,up,ENSG00000143546,5163.0,6279.0,protein_coding,0.0020867943758416,2.92832276178208
3,PLA1A,up,ENSG00000144837,960.0,51365.0,protein_coding,0.0240823128315302,2.00779050947086
3,BAG3,up,ENSG00000151929,1100.0,9531.0,protein_coding,0.000126684177416,2.28520219598494
3,CCDC144CP,up,ENSG00000154898,,,,0.0082905966526609,2.19261185971133
3,TMPRSS3,up,ENSG00000160183,520.0,64699.0,protein_coding,0.0215066703539345,2.06176064345589
3,FGFR4,up,ENSG00000160867,730.0,2264.0,protein_coding,0.0181317783309534,2.16957722778128
3,S100A9,up,ENSG00000163220,562.0,6280.0,protein_coding,2.26114567447042e-05,3.46546953801344
3,TMEM100,up,ENSG00000166292,,55273.0,protein_coding,0.0009777351564569,2.48095325270118
3,ANGPTL4,up,ENSG00000167772,,51129.0,protein_coding,0.002011975812644,2.22217101219335
3,GPR4,up,ENSG00000177464,860.0,2828.0,protein_coding,0.0073246257906281,2.07945156962814
3,NQO1,up,ENSG00000181019,1110.0,1728.0,protein_coding,0.0198637443146128,1.9761090708133
3,SOCS3,up,ENSG00000184557,4150.0,9021.0,protein_coding,0.0082042131030969,3.17270357111077
3,MT1X,up,ENSG00000187193,,4501.0,protein_coding,0.0068958855888437,2.00183390598397
3,TDRG1,up,ENSG00000204091,,,,0.0335399746731601,1.93786078056217
3,MT-TL1,up,ENSG00000209082,,,,0.000112761222095,2.05646020402402
3,MT-TV,up,ENSG00000210077,,,,0.0008010020319554,2.23716383227724
3,MT-TI,up,ENSG00000210100,,,,0.000126684177416,3.09421141727624
3,MT-TM,up,ENSG00000210112,,,,0.002815834291001,2.04328047938409
3,MT-TH,up,ENSG00000210176,,,,0.0008049749154055,2.10518062389064
3,C10orf105,up,ENSG00000214688,,414152.0,protein_coding,0.0343984234599948,2.24976948540078
3,LINC00513,up,ENSG00000233559,,,,0.0154612200878021,2.20577280843152
3,INTS6-AS1,up,ENSG00000236778,,,,0.0108250232069135,1.94559024177285
3,AC068308.1,up,ENSG00000241231,,,,0.0077805981620919,2.7067054430963
3,ZFHX4-AS1,up,ENSG00000253661,,,,0.016329771719513,1.97770467513536
3,AC016727.3,up,ENSG00000285857,,,,0.0232234066005332,2.03685637366695
3,STYK1,down,ENSG00000060140,260.0,55359.0,protein_coding,0.0010659068699323,-1.91496702223359
3,OTUB2,down,ENSG00000089723,230.0,78990.0,protein_coding,0.0209688201631772,-2.04701754721856
3,SLC7A4,down,ENSG00000099960,,6545.0,protein_coding,0.0008502882620853,-2.06259021711534
3,PPP1R17,down,ENSG00000106341,,10842.0,protein_coding,0.0165263738223083,-2.34683880818488
3,ACTA2,down,ENSG00000107796,4150.0,59.0,protein_coding,0.0347314865812345,-2.35284140795959
3,GSG1,down,ENSG00000111305,,83445.0,protein_coding,0.0087811835724008,-2.21161290568008
3,EGR2,down,ENSG00000122877,4660.0,1959.0,protein_coding,0.0023123715191429,-3.19069046533653
3,NR4A1,down,ENSG00000123358,1100.0,3164.0,protein_coding,0.0071583718256041,-2.5275384685986
3,RFPL2,down,ENSG00000128253,5163.0,10739.0,protein_coding,0.0073246257906281,-1.92681710448167
3,CNN1,down,ENSG00000130176,4714.0,1264.0,protein_coding,0.0241884435783126,-2.49811189752072
3,AOC3,down,ENSG00000131471,340.0,8639.0,protein_coding,0.0395240942419082,-1.94084357389631
3,MYH11,down,ENSG00000133392,240.0,4629.0,protein_coding,0.0328674526932774,-2.55830982014614
3,AMIGO2,down,ENSG00000139211,515.0,347902.0,protein_coding,0.0011928008463228,-1.91039073184957
3,NR4A2,down,ENSG00000153234,310.0,4929.0,protein_coding,0.0002965991832829,-2.42520152490287
3,DKK2,down,ENSG00000155011,,27123.0,protein_coding,0.0394301376065962,-2.33005711086574
3,ATF3,down,ENSG00000162772,,467.0,protein_coding,0.0038433678922142,-2.20093133587256
3,TMEM200A,down,ENSG00000164484,,114801.0,protein_coding,0.0058105110402315,-2.3307165074725
3,MFAP4,down,ENSG00000166482,,4239.0,protein_coding,0.0217376176003412,-2.0075114908675
3,COL3A1,down,ENSG00000168542,1110.0,1281.0,protein_coding,0.0074214877649782,-3.03018483829181
3,CAVIN3,down,ENSG00000170955,,,,0.0280688777306392,-1.95425228626267
3,DES,down,ENSG00000175084,,1674.0,protein_coding,0.0499832853978692,-4.16422626662548
3,PCSK1,down,ENSG00000175426,571.0,5122.0,protein_coding,0.0023245144185348,-1.88688054860852
3,PENK,down,ENSG00000181195,,5179.0,protein_coding,0.0267667440769347,-2.44328557421589
3,FREM3,down,ENSG00000183090,,166752.0,protein_coding,0.0038336923034047,-2.14746412844022
3,SOWAHB,down,ENSG00000186212,591.0,345079.0,protein_coding,0.0252209283740839,-2.01135243023117
3,MPEG1,down,ENSG00000197629,,219972.0,protein_coding,0.0110525769708489,-2.08275762264829
3,LINC02361,down,ENSG00000256576,,,,0.0128415196756626,-2.03535240646841
3,MTRNR2L1,down,ENSG00000256618,,100462977.0,protein_coding,0.0078677514874654,-7.69248098740698
3,AC114947.2,down,ENSG00000261604,,,,0.0033114911808248,-2.16178436447135
3,AL583827.1,down,ENSG00000285634,,,,0.0067046533780622,-1.89240249499982
5,NGFR,up,ENSG00000064300,4660.0,4804.0,protein_coding,0.0172695292743292,1.68057339642726
5,CA12,up,ENSG00000074410,53.0,771.0,protein_coding,0.0451467848936344,1.59167574457622
5,EDN1,up,ENSG00000078401,,1906.0,protein_coding,0.0248374180499427,1.60987793755744
5,FKBP5,up,ENSG00000096060,310.0,2289.0,protein_coding,0.0217259545210766,1.2322243635219
5,MDK,up,ENSG00000110492,,4192.0,nonsense_mediated_decay,0.0195924739182958,1.17821599224523
5,MT1G,up,ENSG00000125144,,4495.0,protein_coding,0.0401068250764113,1.56949425757092
5,MT2A,up,ENSG00000125148,,4502.0,protein_coding,0.0429267564651018,1.22731233504484
5,NTN5,up,ENSG00000142233,,126147.0,protein_coding,0.0105398348079845,1.40912481106966
5,MT1E,up,ENSG00000169715,,4493.0,protein_coding,0.0195924739182958,1.19710544043258
5,FAM133CP,up,ENSG00000183055,,,,0.0462803203771169,1.42231930386229
5,MT1X,up,ENSG00000187193,,4501.0,protein_coding,0.0340964719134774,1.37376211453406
5,GTF2IRD2,up,ENSG00000196275,310.0,84163.0,protein_coding,0.0492138437729249,1.27586481399575
5,MT1F,up,ENSG00000198417,,4494.0,protein_coding,0.0349176736584386,1.37519562334255
